iter	Passed	Remaining
224	343	1183
225	345	1182
226	347	1182
227	349	1182
228	351	1182
229	352	1181
230	354	1179
231	355	1177
232	357	1175
233	358	1175
234	361	1176
235	363	1175
236	364	1173
237	366	1172
238	367	1170
239	369	1168
240	370	1166
241	371	1164
242	373	1163
243	375	1163
244	376	1161
245	378	1160
246	380	1158
247	381	1157
248	383	1156
249	385	1157
250	388	1160
251	390	1159
252	392	1157
253	393	1155
254	394	1153
255	396	1151
256	397	1149
257	398	1147
258	400	1145
259	401	1143
260	403	1142
261	404	1140
262	406	1138
263	407	1136
264	409	1134
265	410	1132
266	411	1130
267	413	1128
268	414	1126
269	416	1124
270	417	1122
271	418	1120
272	420	1119
273	421	1117
274	422	1114
275	424	1113
276	425	1111
277	427	1109
278	428	1108
279	430	1107
280	431	1105
281	433	1103
282	434	1101
283	436	1099
284	437	1097
285	438	1095
286	440	1094
287	441	1092
288	443	1090
289	444	1088
290	446	1087
291	447	1085
292	448	1083
293	450	1081
294	451	1079
295	453	1077
296	454	1076
297	456	1074
298	457	1072
299	458	1070
300	460	1068
301	461	1066
302	463	1065
303	464	1063
304	465	1061
305	467	1059
306	468	1057
307	469	1055
308	471	1053
309	472	1052
310	474	1050
311	475	1048
312	476	1046
313	478	1044
314	479	1043
315	481	1041
316	482	1039
317	483	1037
318	485	1035
319	486	1033
320	487	1032
321	489	1030
322	490	1028
323	492	1026
324	493	1025
325	495	1025
326	497	1023
327	498	1021
328	500	1020
329	501	1019
330	503	1017
331	504	1015
332	506	1015
333	508	1013
334	510	1012
335	511	1011
336	513	1009
337	514	1008
338	516	1006
339	517	1004
340	518	1002
341	520	1001
342	523	1001
343	524	1000
344	526	998
345	527	997
346	529	995
347	530	993
348	531	992
349	533	990
350	534	988
351	536	987
352	537	985
353	539	984
354	540	982
355	542	980
356	543	979
357	545	977
358	546	975
359	547	974
360	549	972
361	550	970
362	552	969
363	553	967
364	555	965
365	556	964
366	558	962
367	559	960
368	560	959
369	562	957
370	563	955
371	565	953
372	566	952
373	567	950
374	569	948
375	570	947
376	572	945
377	573	944
378	575	942
379	576	940
380	577	938
381	579	937
382	580	935
383	582	933
384	583	932
385	585	930
386	586	929
387	588	927
388	589	925
389	590	924
390	592	922
391	593	920
392	595	919
393	596	917
394	598	916
395	599	914
396	600	912
397	602	910
398	603	909
399	604	907
400	606	905
401	607	903
402	608	902
403	610	900
404	611	899
405	613	897
406	614	895
407	616	893
408	617	892
409	618	890
410	620	888
411	621	886
412	622	885
413	624	883
414	625	882
415	627	880
416	628	878
417	630	877
418	631	875
419	632	873
420	634	872
421	635	870
422	636	867
423	637	866
424	639	864
425	640	862
426	641	861
427	643	859
428	644	858
429	646	856
430	647	854
431	649	853
432	650	851
433	651	850
434	653	848
435	654	847
436	656	845
437	657	844
438	659	842
439	661	841
440	663	840
441	664	839
442	666	838
443	667	836
444	669	835
445	671	833
446	672	832
447	674	830
448	675	829
449	677	827
450	678	826
451	681	826
452	683	824
453	685	823
454	686	822
455	688	821
456	689	819
457	691	817
458	692	816
459	693	814
460	695	812
461	696	811
462	697	809
463	699	808
464	700	806
465	702	804
466	703	803
467	705	801
468	706	799
469	707	798
470	709	796
471	710	794
472	712	793
473	713	791
474	714	790
475	716	788
476	717	786
477	719	785
478	720	783
479	722	782
480	723	781
481	725	779
482	726	777
483	728	776
484	729	774
485	731	773
486	732	771
487	733	770
488	735	768
489	736	767
490	738	765
491	739	763
492	741	762
493	742	760
494	743	758
495	745	757
496	746	755
497	748	754
498	749	752
499	750	750
500	752	749
501	753	747
502	755	746
503	756	744
504	757	742
505	759	741
506	760	739
507	761	737
508	763	736
509	764	734
510	766	733
511	767	731
512	769	730
513	770	728
514	771	726
515	773	725
516	774	723
517	776	722
518	777	720
519	779	719
520	780	717
521	782	716
522	783	714
523	784	712
524	786	711
525	787	709
526	788	707
527	790	706
528	791	705
529	793	703
530	794	702
531	796	700
532	797	698
533	799	697
534	800	695
535	801	694
536	803	692
537	804	690
538	805	689
539	807	687
540	808	686
541	810	684
542	811	683
543	813	681
544	814	680
545	816	678
546	817	676
547	818	675
548	820	674
549	821	672
550	823	670
551	824	669
552	826	667
553	828	666
554	830	665
555	831	664
556	833	662
557	835	661
558	836	659
559	837	658
560	839	656
561	841	655
562	843	654
563	845	653
564	846	651
565	848	650
566	850	649
567	851	647
568	853	646
569	854	644
570	856	643
571	857	641
572	859	640
573	860	638
574	862	637
575	863	635
576	865	634
577	866	632
578	868	631
579	869	629
580	870	628
581	872	626
582	873	624
583	875	623
584	876	621
585	878	620
586	879	618
587	880	617
588	882	615
589	883	614
590	885	612
591	886	610
592	887	609
593	889	607
594	891	606
595	892	605
596	894	603
597	895	602
598	897	600
599	898	599
600	900	597
601	901	596
602	903	594
603	905	593
604	907	592
605	910	591
606	912	590
607	915	590
608	917	588
609	918	587
610	920	586
611	922	584
612	923	583
613	925	581
614	926	580
615	928	578
616	931	578
617	933	576
618	934	575
619	936	573
620	937	572
621	939	570
622	940	569
623	942	567
624	943	566
625	944	564
626	946	563
627	947	561
628	949	559
629	950	558
630	952	556
631	953	555
632	954	553
633	956	551
634	957	550
635	959	548
636	960	547
637	961	545
638	963	544
639	964	542
640	965	540
641	966	539
642	968	537
643	969	536
644	971	534
645	972	533
646	974	531
647	975	530
648	977	528
649	978	526
650	979	525
651	981	523
652	982	522
653	984	520
654	985	519
655	986	517
656	988	516
657	989	514
658	991	512
659	992	511
660	994	509
661	996	508
662	997	507
663	999	505
664	1001	504
665	1002	502
666	1004	501
667	1005	499
668	1007	498
669	1008	496
670	1010	495
671	1011	493
672	1013	492
673	1016	491
674	1017	490
675	1019	488
676	1020	486
677	1022	485
678	1023	483
679	1024	482
680	1026	481
681	1028	479
682	1029	477
683	1031	476
684	1032	474
685	1033	473
686	1035	471
687	1036	470
688	1038	468
689	1039	467
690	1041	465
691	1042	464
692	1044	462
693	1045	461
694	1047	459
695	1048	457
696	1049	456
697	1051	454
698	1052	453
699	1053	451
700	1055	450
701	1057	448
702	1058	447
703	1059	445
704	1061	444
705	1062	442
706	1064	440
707	1065	439
708	1066	437
709	1068	436
710	1069	434
711	1071	433
712	1072	431
713	1074	430
714	1075	428
715	1076	427
716	1078	425
717	1079	424
718	1081	422
719	1082	420
720	1083	419
721	1085	418
722	1087	416
723	1088	414
724	1089	413
725	1091	411
726	1092	410
727	1094	408
728	1095	407
729	1097	405
730	1099	404
731	1101	403
732	1103	401
733	1105	400
734	1106	398
735	1108	397
736	1109	395
737	1110	394
738	1112	392
739	1113	391
740	1116	390
741	1117	388
742	1118	387
743	1120	385
744	1121	383
745	1123	382
746	1124	380
747	1126	379
748	1127	377
749	1128	376
750	1130	374
751	1131	373
752	1133	371
753	1134	370
754	1136	368
755	1137	367
756	1139	365
757	1140	364
758	1142	362
759	1143	361
760	1144	359
761	1146	358
762	1147	356
763	1149	355
764	1150	353
765	1152	351
766	1153	350
767	1154	348
768	1156	347
769	1157	345
770	1159	344
771	1160	342
772	1162	341
773	1164	339
774	1165	338
775	1167	337
776	1168	335
777	1170	333
778	1171	332
779	1173	330
780	1175	329
781	1177	328
782	1179	326
783	1180	325
784	1182	323
785	1183	322
786	1185	320
787	1186	319
788	1188	317
789	1190	316
790	1191	314
791	1193	313
792	1194	311
793	1196	310
794	1197	308
795	1198	307
796	1199	305
797	1201	304
798	1202	302
799	1204	301
800	1205	299
801	1207	298
802	1208	296
803	1210	294
804	1211	293
805	1212	291
806	1214	290
807	1215	288
808	1217	287
809	1218	285
810	1220	284
811	1221	282
812	1222	281
813	1224	279
814	1225	278
815	1227	276
816	1228	275
817	1229	273
818	1231	272
819	1232	270
820	1234	269
821	1235	267
822	1237	266
823	1238	264
824	1239	262
825	1241	261
826	1242	259
827	1243	258
828	1245	256
829	1246	255
830	1248	253
831	1249	252
832	1250	250
833	1252	249
834	1254	247
835	1255	246
836	1257	244
837	1258	243
838	1260	241
839	1261	240
840	1263	238
841	1264	237
842	1266	235
843	1267	234
844	1268	232
845	1270	231
846	1271	229
847	1272	228
848	1274	226
849	1275	225
850	1277	223
851	1278	222
852	1280	220
853	1281	219
854	1283	217
855	1284	216
856	1285	214
857	1287	213
858	1288	211
859	1289	209
860	1291	208
861	1292	206
862	1294	205
863	1295	203
864	1297	202
865	1298	200
866	1300	199
867	1301	197
868	1303	196
869	1305	195
870	1306	193
871	1308	192
872	1309	190
873	1311	189
874	1312	187
875	1314	186
876	1316	184
877	1318	183
878	1320	181
879	1322	180
880	1323	178
881	1325	177
882	1327	175
883	1329	174
884	1331	173
885	1333	171
886	1335	170
887	1336	168
888	1338	167
889	1339	165
890	1341	164
891	1342	162
892	1344	161
893	1345	159
894	1347	158
895	1349	156
896	1350	155
897	1352	153
898	1354	152
899	1355	150
900	1357	149
901	1358	147
902	1364	146
903	1365	145
904	1368	143
905	1370	142
906	1372	140
907	1375	139
908	1376	137
909	1378	136
910	1380	134
911	1383	133
912	1385	132
913	1387	130
914	1389	129
915	1391	127
916	1393	126
917	1394	124
918	1396	123
919	1398	121
920	1399	120
921	1401	118
922	1402	117
923	1404	115
924	1405	113
925	1407	112
926	1408	110
927	1410	109
928	1412	107
929	1413	106
930	1415	104
931	1416	103
932	1418	101
933	1419	100
934	1421	98
935	1422	97
936	1423	95
937	1425	94
938	1426	92
939	1428	91
940	1429	89
941	1431	88
942	1432	86
943	1434	85
944	1435	83
945	1437	82
946	1438	80
947	1439	78
948	1441	77
949	1442	75
950	1444	74
951	1445	72
952	1447	71
953	1448	69
954	1450	68
955	1452	66
956	1453	65
957	1455	63
958	1456	62
959	1457	60
960	1459	59
961	1460	57
962	1462	56
963	1463	54
964	1464	53
965	1465	51
966	1467	50
967	1468	48
968	1470	47
969	1471	45
970	1473	43
971	1475	42
972	1476	40
973	1477	39
974	1479	37
975	1480	36
976	1482	34
977	1483	33
978	1484	31
979	1486	30
980	1487	28
981	1489	27
982	1490	25
983	1492	24
984	1493	22
985	1495	21
986	1497	19
987	1499	18
988	1501	16
989	1503	15
990	1504	13
991	1506	12
992	1507	10
993	1509	9
994	1510	7
995	1512	6
996	1514	4
997	1517	3
998	1518	1
999	1520	0
